feature			 p_value					 t_statistic
time 			 1.6359172938413154e-188 	 32.48797404540283
cd420 			 3.6280472520081944e-61 	 17.04258084410814
cd40 			 4.870458836111962e-18 	 8.733841847716452
strat 			 1.0473883778667563e-09 	 -6.129415077116897
treat 			 1.8110971977474464e-09 	 6.040148905954119
symptom 			 1.989682495050832e-09 	 -6.02469759239338
preanti 			 2.4901004633984896e-09 	 -5.98768906929615
z30 			 5.766692142559356e-09 	 -5.847254456747503
str2 			 1.0327498961553815e-08 	 -5.747962160331314
karnof 			 1.8333254400558305e-06 	 4.784274022166074
offtrt 			 1.6998820876852117e-05 	 -4.310884230764228
